time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,201,52,15,6
2026-06-15 00:00:00+00:00,340,51,11,4
2026-06-16 00:00:00+00:00,219,66,44,8
2026-06-17 00:00:00+00:00,118,47,33,3
2026-06-18 00:00:00+00:00,331,83,61,6
2026-06-19 00:00:00+00:00,352,70,40,13
2026-06-20 00:00:00+00:00,202,65,15,7
2026-06-21 00:00:00+00:00,276,62,75,11
2026-06-22 00:00:00+00:00,93,35,33,6
2026-06-23 00:00:00+00:00,194,39,13,6
2026-06-24 00:00:00+00:00,42,15,34,5
2026-06-25 00:00:00+00:00,229,44,19,5
2026-06-26 00:00:00+00:00,94,50,9,3
2026-06-27 00:00:00+00:00,151,63,86,8
