url_path,views_total,views_unique
/jens62/geberit-aquaclean,151,68
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,30,17
/jens62/geberit-aquaclean/tree/main/docs/developer,20,1
/jens62/geberit-aquaclean/issues,17,8
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,16,13
/jens62/geberit-aquaclean/tree/main/docs,16,2
/jens62/geberit-aquaclean/tree/main,14,5
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,12,11
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,10,7
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,9,8
