url_path,views_total,views_unique
/jens62/geberit-aquaclean,81,65
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,26,20
/jens62/geberit-aquaclean/commits/main,15,2
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,9,9
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,8,7
/jens62/geberit-aquaclean/issues,7,5
/jens62/geberit-aquaclean/tree/main,7,5
/jens62/geberit-aquaclean/blob/v3.1.2/docs/hacs-integration.md,6,2
/jens62/geberit-aquaclean/blob/v3.1.2/homeassistant/SETUP_GUIDE.md,6,1
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,5,5
