url_path,views_total,views_unique
/jens62/geberit-aquaclean,161,75
/jens62/geberit-aquaclean/blob/main/docs/hacs-integration.md,28,18
/jens62/geberit-aquaclean/tree/main/docs/developer,21,1
/jens62/geberit-aquaclean/issues,17,8
/jens62/geberit-aquaclean/tree/main/docs,17,2
/jens62/geberit-aquaclean/tree/main,15,5
/jens62/geberit-aquaclean/blob/main/homeassistant/SETUP_GUIDE.md,14,12
/jens62/geberit-aquaclean/blob/main/docs/hacs-user-is-sitting.png,10,9
/jens62/geberit-aquaclean/blob/main/docs/webapp-masked.png,9,7
/jens62/geberit-aquaclean/blob/main/docs/home-assistant.md,8,7
